word,tf-idf-pos,node-label
(แต - ADV),-0.215836249209525,neg
(หมด - VERB),-0.215836249209525,neg
(กระโดด - VERB),-0.215836249209525,neg
(ควบคุม - VERB),-0.17986354100793747,neg
(สำคัญ - ADJ),-0.17986354100793747,neg
(อย่า - VERB),-0.17986354100793747,neg
(*ประทับใจ - VERB),-0.17986354100793747,neg
(เดินทาง - VERB),-0.17292250008525414,neg
(ย้าย - VERB),-0.14148204552429886,neg
(ขยะแขยง - VERB),-0.1348976557559531,neg
(ทารุณ - VERB),-0.11990902733862498,neg
(บันทึก - VERB),-0.11990902733862498,neg
(เกลียด - VERB),-0.09810738600432954,neg
(มาก - ADJ),-0.09810738600432954,neg
(ทิ้ง - VERB),-0.09810738600432954,neg
(ทำลาย - VERB),-0.08646125004262707,neg
(ชอบ - VERB),-0.08301394200366345,neg
(หลีกเลี่ยง - VERB),-0.07074102276214943,neg
(ลูก - VERB),-0.05995451366931249,neg
(ยิ่ง - ADJ),-0.0553426280024423,neg
(สัมผัส - VERB),-0.0553426280024423,neg
(เลวร้าย - ADJ),-0.04668907502301862,neg
(แทน - VERB),-0.03990519232736634,neg
(เลวร้าย - VERB),-0.03705482144684017,neg
